url,gtm,status,error
https://hcp.galdermaaesthetics.com/,GTM-PDMJZSR,Matched,
https://www.galdermaaesthetics.com.au/,GTM-5KRXZFD,Matched,
https://www.galdermaaesthetics.com.br,GTM-PW8P8KC,Matched,
https://www.benzac.com/au,GTM-T6DWFZN,Matched,
https://www.cetaphil.com.ar,GTM-PK5VFJD,Matched,
https://www.cetaphil.com.au,GTM-M4RM4HG,Matched,
https://www.cetaphil.be,GTM-TLJJ9SN,Matched,
https://www.cetaphil.com.br,GTM-T3V8HXR,Unmatched,
https://www.cetaphil.cl,GTM-T3V8HXR,Unmatched,
https://www.cetaphil.com.co,GTM-MWJLMC5,Matched,
https://www.cetaphil.com/hr ,GTM-PQXKZTD,Unmatched,
https://www.cetaphil.de,GTM-N73SKGT,Matched,
https://www.cetaphil.com/gr,GTM-N539WDT,Matched,
https://www.cetaphil.com.hk,GTM-K863V53,Matched,
https://www.cetaphil.in/,GTM-5QM3X6F,Matched,
https://www.cetaphil.co.id,GTM-P6T5S2T,Matched,
https://www.cetaphil.com/il/,GTM-P6PD44R,Matched,
https://www.cetaphil.co.kr,GTM-TW8MV6B,Matched,
https://www.cetaphil.com.my,GTM-NPJX5NF,Matched,
https://www.cetaphil.com.mx,GTM-KZM7Q95,Matched,
https://www.cetaphil-me.com,GTM-PSWXVJD,Matched,
https://www.cetaphil.nl,GTM-MW9G2Z7,Matched,
https://www.cetaphil.com.ph,GTM-TZMJL6D,Matched,
https://www.cetaphil.pl,GTM-WTD3GTT,Matched,
https://www.cetaphil.pt,GTM-WN64PSF,Matched,
https://www.cetaphil.com/ro,GTM-KN4TG68,Unmatched,
https://www.cetaphil.com.sg,GTM-P3WZ7BZ,Matched,
https://www.cetaphil.co.za,GTM-K6VJD5K,Matched,
https://www.cetaphil.es ,GTM-PPZPF77,Error,"HTTPSConnectionPool(host='www.cetaphil.es%20', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x113674710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known',))"
https://www.cetaphil.se,GTM-KJ5F4QN,Matched,
https://www.cetaphil.com.tw/,GTM-PQ78PDZ,Matched,
https://www.cetaphil.co.th/,GTM-WNQXBV2,Matched,
https://www.cetaphil.co.uk,GTM-THWZJ9J,Matched,
https://www.cetaphil.com/us,GTM-P88FL2,Matched,
https://www.cetaphil.com.vn/,GTM-PB2ZG56,Matched,
https://www.cetaphil.com/tr,GTM-K74DTH4,Matched,
https://www.galderma.com,GTM-PSJ6ZHK,Matched,
https://www.galderma.com/au,GTM-WVS3G75,Matched,
https://www.galderma.com/co,GTM-WP27SBG,Matched,
https://www.galderma.com/de,GTM-W6NNJPV,Unmatched,
https://www.galderma.com/in,GTM-NNTG7CS,Matched,
https://www.galderma.com/jp,GTM-5JNTV4T,Matched,
https://www.galderma.com/kr,GTM-NMHV346,Matched,
https://www.galderma.com/mx,GTM-NHW4S77,Matched,
https://www.galderma.com/me,GTM-P7NWJ8M,Matched,
https://www.galderma.com/pt,GTM-PBFZDCH,Matched,
https://www.galderma.com/ru ,GTM-WGV2ZZR,Unmatched,
https://www.galderma.com/es,GTM-TXXMVK8,Matched,
https://www.galderma.com/se,GTM-5VXCWSW,Matched,
https://www.galderma.com/uk,GTM-MW2NGJN,Matched,
https://www.galderma.com/us,GTM-MHC36G6,Matched,
https://www.faceuptorosacea.com/,GTM-WFC8PH4,Unmatched,
https://www.loceryl.com/de,GTM-WN89L48,Matched,
https://www.curanel.ch,GTM-TCWCTW5,Matched,
https://www.restylane.com/ca,GTM-WD9SQJS,Matched,
https://www.restylane.com/dk,GTM-T5J4JS6,Matched,
https://www.restylane.com/fi,GTM-K93M4XT,Matched,
https://www.restylane.com/de,GTM-MFBXPN2,Matched,
https://www.restylane.com/nl,GTM-T9JMGM9,Matched,
https://www.restylane.com/no,GTM-PLDZLGM,Unmatched,
https://www.restylane.com/pl,GTM-P9QVZMX,Matched,
https://www.restylane.com,GTM-KNT68QD,Matched,
https://www.restylane.com/se,GTM-NHPDHTS,Matched,
https://www.restylane.com/tn/,GTM-KNT68QD,Unmatched,
